date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2011-01-03 | 3 
2011-01-09 | 1
2011-01-02 | 1
2010-01-02 | 1.5
2015-05-26 | 15
2022-07-29 | 4 
2015-05-26 | 15
2022-07-29 | 4
2025-07-29 | 4
2010-01-03 | 3
2011-1-03 | 3
2001-42-42 | 1
2021-13-01 | 5
2011-01-03 | abc   
2011-01-03-4 | 3   
2011/01/03 | 3 
2011-01-03 3 
| 2014-01-03 
